Authority code,Authority nice name,Library service,Period,Members,Events,Attendance,Issues,Visits,Computer hours,Wifi sessions,Population under 12,Population 12-17,Population adult
E06000038,Reading,Reading,2023-04-01/P1Y,12938,209,27393,427249,276000,17310,29391,26129,12834,143944
E08000005,Rochdale,Rochdale Borough Libraries,2023-04-01/P1Y,12981,3035,19495,377293,0,0,0,37917,20170,177474
E08000018,Rotherham,Rotherham,2023-04-01/P1Y,15008,0,121144,383876,358953,39100,7741,38608,20913,217074
E06000040,Windsor and Maidenhead,Royal Borough Of Windsor & Maidenhead,2023-04-01/P1Y,16024,1704,0,567385,477845,167943,0,20940,13800,124203
E06000017,Rutland,Rutland,2023-04-01/P1Y,5564,125,970,97014,90594,5287,0,4180,3832,33431
E08000006,Salford,Salford,2023-04-01/P1Y,19049,28,180,396713,785031,0,0,43201,20421,230726
E08000028,Sandwell,Sandwell,2023-04-01/P1Y,18786,0,0,489418,660599,68825,84387,58050,30543,265267
E08000014,Sefton,Sefton Library & Information Service,2023-04-01/P1Y,36004,1340,21787,1405906,515997,30742,0,35404,19356,231521
E08000019,Sheffield,Sheffield Libraries Archives & Information Service,2023-04-01/P1Y,66280,0,43440,1033461,878204,74989,0,76266,40013,466214
E06000051,Shropshire,Shropshire Libraries,2023-04-01/P1Y,35900,3972,34294,703290,616090,26335,0,37419,22734,272302
E08000029,Solihull,Solihull,2023-04-01/P1Y,16539,1502,24659,527645,326397,29364,40002,31303,17926,172013
E10000027,Somerset,Somerset,2023-04-01/P1Y,70478,7538,58315,800903,905057,70738,40198,0,0,0
E06000025,South Gloucestershire,South Gloucestershire Libraries,2023-04-01/P1Y,45726,3215,73633,1000605,609658,43708,0,41424,21370,243538
E08000023,South Tyneside,South Tyneside,2023-04-01/P1Y,11490,999,0,362545,15128,45146,108408,19783,10730,120880
E06000045,Southampton,Southampton City Council,2023-04-01/P1Y,19790,1635,0,0,0,0,0,33689,17252,208483
E09000028,Southwark,Southwark,2023-04-01/P1Y,31382,0,0,1192121,1501654,117183,478246,36430,19196,259160
E08000013,St. Helens,St Helens,2023-04-01/P1Y,10171,0,21807,305482,271164,0,0,24301,13307,151253
E10000028,Staffordshire,Staffordshire,2023-04-01/P1Y,59967,0,0,1610554,1943485,106759,0,112879,61925,732349
