Authority,Location,Period,Count
E08000032,Library,2023-11-01/P1M,43101
E08000032,Library,2023-12-01/P1M,31276
E08000032,Library,2024-01-01/P1M,39883
E08000032,Library,2024-02-01/P1M,42456
E08000032,Library,2024-03-01/P1M,44076
E08000032,Home delivery,2023-04-01/P1M,103
E08000032,Home delivery,2023-05-01/P1M,156
E08000032,Home delivery,2023-06-01/P1M,131
E08000032,Home delivery,2023-07-01/P1M,118
E08000032,Home delivery,2023-08-01/P1M,131
E08000032,Home delivery,2023-09-01/P1M,98
E08000032,Home delivery,2023-10-01/P1M,114
E08000032,Home delivery,2023-11-01/P1M,83
E08000032,Home delivery,2023-12-01/P1M,100
E08000032,Home delivery,2024-01-01/P1M,135
E08000032,Home delivery,2024-02-01/P1M,119
E08000032,Home delivery,2024-03-01/P1M,110
E09000005,Shared building,2023-04-01/P1M,7684
E09000005,Shared building,2023-05-01/P1M,8025
E09000005,Shared building,2023-06-01/P1M,7881
E09000005,Shared building,2023-07-01/P1M,7807
E09000005,Shared building,2023-08-01/P1M,7354
E09000005,Shared building,2023-09-01/P1M,7705
E09000005,Shared building,2023-10-01/P1M,8647
E09000005,Shared building,2023-11-01/P1M,9220
E09000005,Shared building,2023-12-01/P1M,7363
E09000005,Shared building,2024-01-01/P1M,8548
E09000005,Shared building,2024-02-01/P1M,8226
E09000005,Shared building,2024-03-01/P1M,8236
E09000005,Library,2023-04-01/P1M,57561
E09000005,Library,2023-05-01/P1M,74005
E09000005,Library,2023-06-01/P1M,70483
E09000005,Library,2023-07-01/P1M,85795
E09000005,Library,2023-08-01/P1M,81910
E09000005,Library,2023-09-01/P1M,86935
E09000005,Library,2023-10-01/P1M,107578
E09000005,Library,2023-11-01/P1M,92926
E09000005,Library,2023-12-01/P1M,68516
E09000005,Library,2024-01-01/P1M,105372
E09000005,Library,2024-02-01/P1M,114887
E09000005,Library,2024-03-01/P1M,112379
E09000005,Home delivery,2023-04-01/P1M,517
E09000005,Home delivery,2023-05-01/P1M,482
E09000005,Home delivery,2023-06-01/P1M,608
E09000005,Home delivery,2023-07-01/P1M,273
E09000005,Home delivery,2023-08-01/P1M,695
E09000005,Home delivery,2023-09-01/P1M,363
E09000005,Home delivery,2023-10-01/P1M,581
E09000005,Home delivery,2023-11-01/P1M,574
E09000005,Home delivery,2023-12-01/P1M,605
E09000005,Home delivery,2024-01-01/P1M,396
E09000005,Home delivery,2024-02-01/P1M,520
E09000005,Home delivery,2024-03-01/P1M,465
E06000023,Shared building,2023-04-01/P1M,75811
E06000023,Shared building,2023-05-01/P1M,76839
E06000023,Shared building,2023-06-01/P1M,77683
E06000023,Shared building,2023-07-01/P1M,82810
E06000023,Shared building,2023-08-01/P1M,83972
E06000023,Shared building,2023-09-01/P1M,82439
E06000023,Shared building,2023-10-01/P1M,91611
E06000023,Shared building,2023-11-01/P1M,90094
E06000023,Shared building,2023-12-01/P1M,67666
E06000023,Shared building,2024-01-01/P1M,84394
E06000023,Shared building,2024-02-01/P1M,83810
E06000023,Shared building,2024-03-01/P1M,83266
E06000023,Home delivery,2023-04-01/P1M,40
E06000023,Home delivery,2023-05-01/P1M,52
E06000023,Home delivery,2023-06-01/P1M,22
E06000023,Home delivery,2023-07-01/P1M,44
E06000023,Home delivery,2023-08-01/P1M,53
E06000023,Home delivery,2023-09-01/P1M,44
E06000023,Home delivery,2023-10-01/P1M,35
E06000023,Home delivery,2023-11-01/P1M,56
E06000023,Home delivery,2023-12-01/P1M,43
E06000023,Home delivery,2024-01-01/P1M,50
E06000023,Home delivery,2024-02-01/P1M,68
E06000023,Home delivery,2024-03-01/P1M,43
E09000006,Shared building,2023-04-01/P1M,31764
E09000006,Shared building,2023-05-01/P1M,31818
E09000006,Shared building,2023-06-01/P1M,31744
E09000006,Shared building,2023-07-01/P1M,38554
E09000006,Shared building,2023-08-01/P1M,37480
E09000006,Shared building,2023-09-01/P1M,36332
E09000006,Shared building,2023-10-01/P1M,35944
E09000006,Shared building,2023-11-01/P1M,33123
E09000006,Shared building,2023-12-01/P1M,27602
E09000006,Shared building,2024-01-01/P1M,34362
E09000006,Shared building,2024-02-01/P1M,33748
E09000006,Shared building,2024-03-01/P1M,33897
E09000006,Library,2023-04-01/P1M,71604
E09000006,Library,2023-05-01/P1M,68381
E09000006,Library,2023-06-01/P1M,62162
E09000006,Library,2023-07-01/P1M,62306
E09000006,Library,2023-08-01/P1M,62741
E09000006,Library,2023-09-01/P1M,61556
E09000006,Library,2023-10-01/P1M,64436
E09000006,Library,2023-11-01/P1M,61330
E09000006,Library,2023-12-01/P1M,52358
E09000006,Library,2024-01-01/P1M,66779
E09000006,Library,2024-02-01/P1M,61766
E09000006,Library,2024-03-01/P1M,66495
E09000006,Home delivery,2023-04-01/P1M,154
E09000006,Home delivery,2023-05-01/P1M,142
E09000006,Home delivery,2023-06-01/P1M,171
E09000006,Home delivery,2023-07-01/P1M,156
E09000006,Home delivery,2023-08-01/P1M,157
E09000006,Home delivery,2023-09-01/P1M,144
E09000006,Home delivery,2023-10-01/P1M,155
E09000006,Home delivery,2023-11-01/P1M,165
E09000006,Home delivery,2023-12-01/P1M,180
E09000006,Home delivery,2024-01-01/P1M,180
E09000006,Home delivery,2024-02-01/P1M,191
E09000006,Home delivery,2024-03-01/P1M,173
E06000060,Shared building,2023-04-01/P1M,69408
E06000060,Shared building,2023-05-01/P1M,70267
E06000060,Shared building,2023-06-01/P1M,64729
E06000060,Shared building,2023-07-01/P1M,73401
E06000060,Shared building,2023-08-01/P1M,79849
E06000060,Shared building,2023-09-01/P1M,71065
E06000060,Shared building,2023-10-01/P1M,77811
