Authority,Format,Content age group,Period,Count
E08000016,Eaudio,Under 12,2024-02-01/P1M,75
E08000016,Eaudio,Under 12,2024-03-01/P1M,96
E08000016,Eaudio,12-17,2023-04-01/P1M,30
E08000016,Eaudio,12-17,2023-05-01/P1M,28
E08000016,Eaudio,12-17,2023-06-01/P1M,26
E08000016,Eaudio,12-17,2023-07-01/P1M,43
E08000016,Eaudio,12-17,2023-08-01/P1M,36
E08000016,Eaudio,12-17,2023-09-01/P1M,34
E08000016,Eaudio,12-17,2023-10-01/P1M,33
E08000016,Eaudio,12-17,2023-11-01/P1M,29
E08000016,Eaudio,12-17,2023-12-01/P1M,29
E08000016,Eaudio,12-17,2024-01-01/P1M,38
E08000016,Eaudio,12-17,2024-02-01/P1M,36
E08000016,Eaudio,12-17,2024-03-01/P1M,49
E06000022,Physical book,Adult,2023-04-01/P3M,59100
E06000022,Physical book,Adult,2023-07-01/P3M,62594
E06000022,Physical book,Adult,2023-10-01/P3M,57412
E06000022,Physical book,Adult,2024-01-01/P3M,60270
E06000022,Physical book,Under 12,2023-04-01/P3M,55476
E06000022,Physical book,Under 12,2023-07-01/P3M,70401
E06000022,Physical book,Under 12,2023-10-01/P3M,57293
E06000022,Physical book,Under 12,2024-01-01/P3M,58467
E06000022,Physical book,12-17,2023-04-01/P3M,2831
E06000022,Physical book,12-17,2023-07-01/P3M,3675
E06000022,Physical book,12-17,2023-10-01/P3M,2925
E06000022,Physical book,12-17,2024-01-01/P3M,2598
E06000022,Physical audiobook,Adult,2023-04-01/P3M,657
E06000022,Physical audiobook,Adult,2023-07-01/P3M,641
E06000022,Physical audiobook,Adult,2023-10-01/P3M,642
E06000022,Physical audiobook,Adult,2024-01-01/P3M,726
E06000022,Physical audiobook,Under 12,2023-04-01/P3M,374
E06000022,Physical audiobook,Under 12,2023-07-01/P3M,602
E06000022,Physical audiobook,Under 12,2023-10-01/P3M,325
E06000022,Physical audiobook,Under 12,2024-01-01/P3M,429
E06000008,Physical book,Adult,2023-04-01/P1M,7892
E06000008,Physical book,Adult,2023-05-01/P1M,8374
E06000008,Physical book,Adult,2023-06-01/P1M,8629
E06000008,Physical book,Adult,2023-07-01/P1M,8917
E06000008,Physical book,Adult,2023-08-01/P1M,9637
E06000008,Physical book,Adult,2023-09-01/P1M,8364
E06000008,Physical book,Adult,2023-10-01/P1M,9001
E06000008,Physical book,Adult,2023-11-01/P1M,8024
E06000008,Physical book,Adult,2023-12-01/P1M,7396
E06000008,Physical book,Adult,2024-01-01/P1M,8461
E06000008,Physical book,Adult,2024-02-01/P1M,8017
E06000008,Physical book,Adult,2024-03-01/P1M,7317
E06000008,Physical book,Under 12,2023-04-01/P1M,6142
E06000008,Physical book,Under 12,2023-05-01/P1M,5474
E06000008,Physical book,Under 12,2023-06-01/P1M,5255
E06000008,Physical book,Under 12,2023-07-01/P1M,9612
E06000008,Physical book,Under 12,2023-08-01/P1M,10921
E06000008,Physical book,Under 12,2023-09-01/P1M,6733
E06000008,Physical book,Under 12,2023-10-01/P1M,6719
E06000008,Physical book,Under 12,2023-11-01/P1M,5576
E06000008,Physical book,Under 12,2023-12-01/P1M,5455
E06000008,Physical book,Under 12,2024-01-01/P1M,6276
E06000008,Physical book,Under 12,2024-02-01/P1M,6532
E06000008,Physical book,Under 12,2024-03-01/P1M,5671
E06000008,Physical book,12-17,2023-04-01/P1M,21
E06000008,Physical book,12-17,2023-05-01/P1M,26
E06000008,Physical book,12-17,2023-06-01/P1M,17
E06000008,Physical book,12-17,2023-07-01/P1M,26
E06000008,Physical book,12-17,2023-08-01/P1M,46
E06000008,Physical book,12-17,2023-09-01/P1M,30
E06000008,Physical book,12-17,2023-10-01/P1M,42
E06000008,Physical book,12-17,2023-11-01/P1M,42
E06000008,Physical book,12-17,2023-12-01/P1M,35
E06000008,Physical book,12-17,2024-01-01/P1M,36
E06000008,Physical book,12-17,2024-02-01/P1M,27
E06000008,Physical book,12-17,2024-03-01/P1M,38
E06000008,Physical audiobook,Adult,2023-04-01/P1M,344
E06000008,Physical audiobook,Adult,2023-05-01/P1M,313
E06000008,Physical audiobook,Adult,2023-06-01/P1M,316
