Authority code,Authority nice name,Library service,Period,Users,Events,Attendance,Loans,Visits,Computer hours,Wifi sessions,Population under 12,Population 12-17,Population adult,Nearest neighbour 1,Nearest neighbour 2,Nearest neighbour 3,Nearest neighbour 4,Nearest neighbour 5
E08000004,Oldham,Oldham Libraries,2023/2024,14771,4370,58172,342502,767029,72900,41462,41766,22303,187491,E08000005,E08000030,E08000032,E08000031,E08000008
E10000025,Oxfordshire,Oxfordshire Libraries,2023/2024,70873,10856,193179,3418088,1923861,87369,,100531,56116,606571,E06000060,E06000049,E10000014,E06000025,E10000030
E06000031,Peterborough,Peterborough Libraries,2023/2024,,1483,19780,252479,195560,35630,15467,37712,19909,166034,E06000015,E08000036,E08000006,E08000013,E08000026
E06000044,Portsmouth,Portsmouth City Council,2023/2024,14886,3071,21061,367930,655862,44521,,28439,14617,171265,E06000058,E06000033,E06000023,E06000045,E08000035
E06000038,Reading,Reading,2023/2024,12938,209,27393,427249,276000,17310,29391,26129,12834,143944,E09000018,E09000011,E08000035,E06000023,E06000030
E08000005,Rochdale,Rochdale Borough Libraries,2023/2024,12981,3035,19495,377293,,,,37917,20170,177474,E06000008,E08000008,E08000031,E08000001,E08000030
E08000018,Rotherham,Rotherham,2023/2024,15008,,121144,383876,358953,39100,7741,38608,20913,217074,E08000016,E08000036,E08000008,E06000006,E08000013
E06000040,Windsor and Maidenhead,Royal Borough Of Windsor & Maidenhead,2023/2024,16024,1704,,567385,477845,167943,,20940,13800,124203,E10000030,E06000060,E10000015,E10000025,E06000041
E06000017,Rutland,Rutland,2023/2024,5564,125,970,97014,90594,5287,,4180,3832,33431,E06000037,E06000049,E06000019,E06000051,E10000025
E08000006,Salford,Salford,2023/2024,19049,28,180,396713,785031,,,43201,20421,230726,E08000035,E06000023,E06000018,E06000031,E06000035
E08000028,Sandwell,Sandwell,2023/2024,18786,,,489418,660599,68825,84387,58050,30543,265267,E08000031,E06000008,E08000030,E08000001,E06000016
E08000014,Sefton,Sefton Library & Information Service,2023/2024,36004,1340,21787,1405906,515997,30742,,35404,19356,231521,E06000007,E08000015,E10000028,E06000050,E08000037
E08000019,Sheffield,Sheffield Libraries Archives & Information Service,2023/2024,66280,,43440,1033461,878204,74989,,76266,40013,466214,E10000017,E08000015,E08000034,E08000035,E06000003
E06000051,Shropshire,Shropshire Libraries,2023/2024,35900,3972,34294,703290,616090,26335,,37419,22734,272302,E06000066,E06000059,E10000029,E06000019,E10000020
E08000029,Solihull,Solihull,2023/2024,16539,1502,24659,527645,326397,29364,40002,31303,17926,172013,E06000062,E06000024,E06000058,E08000002,E10000034
E06000066,Somerset,Somerset,2023/2024,70478,7538,58315,800903,905057,70738,40198,70582,42442,475304,E10000013,E06000059,E10000020,E06000019,E06000051
E06000025,South Gloucestershire,South Gloucestershire Libraries,2023/2024,45726,3215,73633,1000605,609658,43708,,41424,21370,243538,E06000049,E10000003,E06000056,E10000031,E10000018
E08000023,South Tyneside,South Tyneside,2023/2024,11490,999,,362545,15128,45146,108408,19783,10730,120880,E08000024,E06000006,E08000018,E08000013,E08000036
