Authority,Event type,Age group,Month,Count
Blackburn with Darwen,Digital,12-17,2023-04,
Blackburn with Darwen,Digital,12-17,2023-05,
Blackburn with Darwen,Digital,12-17,2023-06,
Blackburn with Darwen,Digital,12-17,2023-07,
Blackburn with Darwen,Digital,12-17,2023-08,
Blackburn with Darwen,Digital,12-17,2023-09,
Blackburn with Darwen,Digital,12-17,2023-10,
Blackburn with Darwen,Digital,12-17,2023-11,
Blackburn with Darwen,Digital,12-17,2023-12,
Blackburn with Darwen,Digital,12-17,2024-01,
Blackburn with Darwen,Digital,12-17,2024-02,
Blackburn with Darwen,Digital,12-17,2024-03,1
Blackburn with Darwen,Digital,All Ages,2023-04,
Blackburn with Darwen,Digital,All Ages,2023-05,
Blackburn with Darwen,Digital,All Ages,2023-06,
Blackburn with Darwen,Digital,All Ages,2023-07,
Blackburn with Darwen,Digital,All Ages,2023-08,
Blackburn with Darwen,Digital,All Ages,2023-09,
Blackburn with Darwen,Digital,All Ages,2023-10,
Blackburn with Darwen,Digital,All Ages,2023-11,
Blackburn with Darwen,Digital,All Ages,2023-12,
Blackburn with Darwen,Digital,All Ages,2024-01,
Blackburn with Darwen,Digital,All Ages,2024-02,
Blackburn with Darwen,Digital,All Ages,2024-03,
Blackpool,Physical,Adults,2023-04,
Blackpool,Physical,Adults,2023-05,
Blackpool,Physical,Adults,2023-06,
Blackpool,Physical,Adults,2023-07,
Blackpool,Physical,Adults,2023-08,
Blackpool,Physical,Adults,2023-09,
Blackpool,Physical,Adults,2023-10,
Blackpool,Physical,Adults,2023-11,
Blackpool,Physical,Adults,2023-12,
Blackpool,Physical,Adults,2024-01,
Blackpool,Physical,Adults,2024-02,
Blackpool,Physical,Adults,2024-03,
Blackpool,Physical,Under 12,2023-04,
Blackpool,Physical,Under 12,2023-05,
Blackpool,Physical,Under 12,2023-06,
Blackpool,Physical,Under 12,2023-07,
Blackpool,Physical,Under 12,2023-08,
Blackpool,Physical,Under 12,2023-09,
Blackpool,Physical,Under 12,2023-10,
Blackpool,Physical,Under 12,2023-11,
Blackpool,Physical,Under 12,2023-12,
Blackpool,Physical,Under 12,2024-01,
Blackpool,Physical,Under 12,2024-02,
Blackpool,Physical,Under 12,2024-03,
Blackpool,Physical,12-17,2023-04,
Blackpool,Physical,12-17,2023-05,
Blackpool,Physical,12-17,2023-06,
Blackpool,Physical,12-17,2023-07,
Blackpool,Physical,12-17,2023-08,
Blackpool,Physical,12-17,2023-09,
Blackpool,Physical,12-17,2023-10,
Blackpool,Physical,12-17,2023-11,
Blackpool,Physical,12-17,2023-12,
Blackpool,Physical,12-17,2024-01,
Blackpool,Physical,12-17,2024-02,
Blackpool,Physical,12-17,2024-03,
Blackpool,Physical,All Ages,2023-04,
Blackpool,Physical,All Ages,2023-05,
Blackpool,Physical,All Ages,2023-06,
Blackpool,Physical,All Ages,2023-07,
Blackpool,Physical,All Ages,2023-08,
Blackpool,Physical,All Ages,2023-09,
Blackpool,Physical,All Ages,2023-10,
Blackpool,Physical,All Ages,2023-11,
Blackpool,Physical,All Ages,2023-12,
Blackpool,Physical,All Ages,2024-01,
Blackpool,Physical,All Ages,2024-02,
Blackpool,Physical,All Ages,2024-03,
Blackpool,Digital,Adults,2023-04,
Blackpool,Digital,Adults,2023-05,
Blackpool,Digital,Adults,2023-06,
Blackpool,Digital,Adults,2023-07,
Blackpool,Digital,Adults,2023-08,
Blackpool,Digital,Adults,2023-09,
Blackpool,Digital,Adults,2023-10,
Blackpool,Digital,Adults,2023-11,
Blackpool,Digital,Adults,2023-12,
Blackpool,Digital,Adults,2024-01,
Blackpool,Digital,Adults,2024-02,
Blackpool,Digital,Adults,2024-03,
Blackpool,Digital,Under 12,2023-04,
Blackpool,Digital,Under 12,2023-05,
Blackpool,Digital,Under 12,2023-06,
Blackpool,Digital,Under 12,2023-07,
Blackpool,Digital,Under 12,2023-08,
Blackpool,Digital,Under 12,2023-09,
Blackpool,Digital,Under 12,2023-10,
Blackpool,Digital,Under 12,2023-11,
Blackpool,Digital,Under 12,2023-12,
Blackpool,Digital,Under 12,2024-01,
Blackpool,Digital,Under 12,2024-02,
Blackpool,Digital,Under 12,2024-03,
Blackpool,Digital,12-17,2023-04,
Blackpool,Digital,12-17,2023-05,
Blackpool,Digital,12-17,2023-06,
Blackpool,Digital,12-17,2023-07,
Blackpool,Digital,12-17,2023-08,
Blackpool,Digital,12-17,2023-09,
Blackpool,Digital,12-17,2023-10,
Blackpool,Digital,12-17,2023-11,
Blackpool,Digital,12-17,2023-12,
Blackpool,Digital,12-17,2024-01,
Blackpool,Digital,12-17,2024-02,
Blackpool,Digital,12-17,2024-03,
Blackpool,Digital,All Ages,2023-04,
Blackpool,Digital,All Ages,2023-05,
Blackpool,Digital,All Ages,2023-06,
Blackpool,Digital,All Ages,2023-07,
Blackpool,Digital,All Ages,2023-08,
Blackpool,Digital,All Ages,2023-09,
Blackpool,Digital,All Ages,2023-10,
Blackpool,Digital,All Ages,2023-11,
Blackpool,Digital,All Ages,2023-12,
Blackpool,Digital,All Ages,2024-01,
Blackpool,Digital,All Ages,2024-02,
Blackpool,Digital,All Ages,2024-03,
Bolton,Physical,Adults,2023-04,188
Bolton,Physical,Adults,2023-05,200
Bolton,Physical,Adults,2023-06,222
Bolton,Physical,Adults,2023-07,239
Bolton,Physical,Adults,2023-08,194
Bolton,Physical,Adults,2023-09,207
Bolton,Physical,Adults,2023-10,232
Bolton,Physical,Adults,2023-11,253
Bolton,Physical,Adults,2023-12,232
Bolton,Physical,Adults,2024-01,273
Bolton,Physical,Adults,2024-02,321
Bolton,Physical,Adults,2024-03,248
Bolton,Physical,Under 12,2023-04,108
Bolton,Physical,Under 12,2023-05,106
Bolton,Physical,Under 12,2023-06,128
Bolton,Physical,Under 12,2023-07,97
Bolton,Physical,Under 12,2023-08,123
Bolton,Physical,Under 12,2023-09,92
Bolton,Physical,Under 12,2023-10,142
Bolton,Physical,Under 12,2023-11,146
Bolton,Physical,Under 12,2023-12,119
Bolton,Physical,Under 12,2024-01,153
Bolton,Physical,Under 12,2024-02,149
Bolton,Physical,Under 12,2024-03,146
Bolton,Physical,12-17,2023-04,
Bolton,Physical,12-17,2023-05,
Bolton,Physical,12-17,2023-06,
Bolton,Physical,12-17,2023-07,
Bolton,Physical,12-17,2023-08,
Bolton,Physical,12-17,2023-09,
Bolton,Physical,12-17,2023-10,
Bolton,Physical,12-17,2023-11,
Bolton,Physical,12-17,2023-12,
Bolton,Physical,12-17,2024-01,
Bolton,Physical,12-17,2024-02,
Bolton,Physical,12-17,2024-03,
Bolton,Physical,All Ages,2023-04,
Bolton,Physical,All Ages,2023-05,
Bolton,Physical,All Ages,2023-06,
Bolton,Physical,All Ages,2023-07,
Bolton,Physical,All Ages,2023-08,
Bolton,Physical,All Ages,2023-09,
Bolton,Physical,All Ages,2023-10,
Bolton,Physical,All Ages,2023-11,
Bolton,Physical,All Ages,2023-12,
Bolton,Physical,All Ages,2024-01,
Bolton,Physical,All Ages,2024-02,
Bolton,Physical,All Ages,2024-03,
Bolton,Digital,Adults,2023-04,
Bolton,Digital,Adults,2023-05,
Bolton,Digital,Adults,2023-06,
Bolton,Digital,Adults,2023-07,
Bolton,Digital,Adults,2023-08,
Bolton,Digital,Adults,2023-09,
Bolton,Digital,Adults,2023-10,
Bolton,Digital,Adults,2023-11,
Bolton,Digital,Adults,2023-12,
Bolton,Digital,Adults,2024-01,
Bolton,Digital,Adults,2024-02,
Bolton,Digital,Adults,2024-03,
Bolton,Digital,Under 12,2023-04,
Bolton,Digital,Under 12,2023-05,
Bolton,Digital,Under 12,2023-06,
Bolton,Digital,Under 12,2023-07,
Bolton,Digital,Under 12,2023-08,
Bolton,Digital,Under 12,2023-09,
Bolton,Digital,Under 12,2023-10,
Bolton,Digital,Under 12,2023-11,
Bolton,Digital,Under 12,2023-12,
Bolton,Digital,Under 12,2024-01,
Bolton,Digital,Under 12,2024-02,
Bolton,Digital,Under 12,2024-03,
Bolton,Digital,12-17,2023-04,
Bolton,Digital,12-17,2023-05,
Bolton,Digital,12-17,2023-06,
Bolton,Digital,12-17,2023-07,
Bolton,Digital,12-17,2023-08,
Bolton,Digital,12-17,2023-09,
Bolton,Digital,12-17,2023-10,
Bolton,Digital,12-17,2023-11,
Bolton,Digital,12-17,2023-12,
Bolton,Digital,12-17,2024-01,
Bolton,Digital,12-17,2024-02,
Bolton,Digital,12-17,2024-03,
Bolton,Digital,All Ages,2023-04,
Bolton,Digital,All Ages,2023-05,
Bolton,Digital,All Ages,2023-06,
Bolton,Digital,All Ages,2023-07,
Bolton,Digital,All Ages,2023-08,
Bolton,Digital,All Ages,2023-09,
Bolton,Digital,All Ages,2023-10,
Bolton,Digital,All Ages,2023-11,
Bolton,Digital,All Ages,2023-12,
Bolton,Digital,All Ages,2024-01,
Bolton,Digital,All Ages,2024-02,
Bolton,Digital,All Ages,2024-03,
"Bournemouth, Christchurch and Poole",Physical,Adults,2023-04,
"Bournemouth, Christchurch and Poole",Physical,Adults,2023-05,
"Bournemouth, Christchurch and Poole",Physical,Adults,2023-06,
"Bournemouth, Christchurch and Poole",Physical,Adults,2023-07,
"Bournemouth, Christchurch and Poole",Physical,Adults,2023-08,
"Bournemouth, Christchurch and Poole",Physical,Adults,2023-09,
"Bournemouth, Christchurch and Poole",Physical,Adults,2023-10,
"Bournemouth, Christchurch and Poole",Physical,Adults,2023-11,
"Bournemouth, Christchurch and Poole",Physical,Adults,2023-12,
"Bournemouth, Christchurch and Poole",Physical,Adults,2024-01,
"Bournemouth, Christchurch and Poole",Physical,Adults,2024-02,
"Bournemouth, Christchurch and Poole",Physical,Adults,2024-03,
"Bournemouth, Christchurch and Poole",Physical,Under 12,2023-04,
"Bournemouth, Christchurch and Poole",Physical,Under 12,2023-05,
"Bournemouth, Christchurch and Poole",Physical,Under 12,2023-06,
"Bournemouth, Christchurch and Poole",Physical,Under 12,2023-07,
"Bournemouth, Christchurch and Poole",Physical,Under 12,2023-08,
"Bournemouth, Christchurch and Poole",Physical,Under 12,2023-09,
"Bournemouth, Christchurch and Poole",Physical,Under 12,2023-10,
"Bournemouth, Christchurch and Poole",Physical,Under 12,2023-11,
"Bournemouth, Christchurch and Poole",Physical,Under 12,2023-12,
"Bournemouth, Christchurch and Poole",Physical,Under 12,2024-01,
"Bournemouth, Christchurch and Poole",Physical,Under 12,2024-02,
"Bournemouth, Christchurch and Poole",Physical,Under 12,2024-03,
"Bournemouth, Christchurch and Poole",Physical,12-17,2023-04,
"Bournemouth, Christchurch and Poole",Physical,12-17,2023-05,
"Bournemouth, Christchurch and Poole",Physical,12-17,2023-06,
"Bournemouth, Christchurch and Poole",Physical,12-17,2023-07,
