Authority,Period,Age group,Count
E10000019,2023-04-01/P1Y,12-17,2582
E09000002,2023-04-01/P1Y,Under 12,2511
E09000002,2023-04-01/P1Y,Adult,4664
E09000002,2023-04-01/P1Y,12-17,1429
E09000003,2023-04-01/P1Y,Unknown,34487
E09000004,2023-04-01/P1Y,Unknown,28809
E09000007,2023-04-01/P1Y,Under 12,2298
E09000007,2023-04-01/P1Y,Adult,8612
E09000007,2023-04-01/P1Y,12-17,748
E09000009,2023-04-01/P1Y,Under 12,6876
E09000009,2023-04-01/P1Y,Adult,5064
E09000009,2023-04-01/P1Y,12-17,32856
E09000017,2023-04-01/P1Y,Under 12,14039
E09000017,2023-04-01/P1Y,Adult,17431
E09000017,2023-04-01/P1Y,12-17,2807
E09000018,2023-04-01/P1Y,Under 12,5640
E09000018,2023-04-01/P1Y,Adult,21371
E09000018,2023-04-01/P1Y,12-17,2897
E09000027,2023-04-01/P1Y,Under 12,6404
E09000027,2023-04-01/P1Y,Adult,19823
E09000027,2023-04-01/P1Y,12-17,2714
E09000029,2023-04-01/P1Y,Under 12,7871
E09000029,2023-04-01/P1Y,Adult,23473
E09000029,2023-04-01/P1Y,12-17,3916
E06000032,2023-04-01/P1Y,Unknown,12570
E08000003,2023-04-01/P1Y,Under 12,18711
E08000003,2023-04-01/P1Y,Adult,65091
E08000003,2023-04-01/P1Y,12-17,8861
E06000002,2023-04-01/P1Y,Under 12,1165
E06000002,2023-04-01/P1Y,Adult,55
E06000002,2023-04-01/P1Y,12-17,1490
E08000021,2023-04-01/P1Y,Unknown,14225
E09000025,2023-04-01/P1Y,Under 12,29681
E09000025,2023-04-01/P1Y,Adult,29348
E09000025,2023-04-01/P1Y,12-17,6880
E10000020,2023-04-01/P1Y,Under 12,35589
E10000020,2023-04-01/P1Y,Adult,100494
E10000020,2023-04-01/P1Y,12-17,8404
E06000012,2023-04-01/P1Y,Under 12,1839
E06000012,2023-04-01/P1Y,Adult,6675
E06000012,2023-04-01/P1Y,12-17,411
E06000013,2023-04-01/P1Y,Under 12,4222
E06000013,2023-04-01/P1Y,Adult,7096
E06000024,2023-04-01/P1Y,Under 12,7712
E06000024,2023-04-01/P1Y,Adult,18998
E06000024,2023-04-01/P1Y,12-17,948
E08000022,2023-04-01/P1Y,Under 12,5376
E08000022,2023-04-01/P1Y,Adult,14485
E08000022,2023-04-01/P1Y,12-17,838
E06000065,2023-04-01/P1Y,Unknown,58510
E06000057,2023-04-01/P1Y,Unknown,20130
E06000018,2023-04-01/P1Y,Under 12,8253
E06000018,2023-04-01/P1Y,Adult,26467
E06000018,2023-04-01/P1Y,12-17,3333
E10000024,2023-04-01/P1Y,Unknown,108627
E08000004,2023-04-01/P1Y,Under 12,5814
E08000004,2023-04-01/P1Y,Adult,7514
E08000004,2023-04-01/P1Y,12-17,1443
E10000025,2023-04-01/P1Y,Under 12,27233
E10000025,2023-04-01/P1Y,Adult,4763
E10000025,2023-04-01/P1Y,12-17,38877
E06000031,2023-04-01/P1Y,Under 12,42581
E06000031,2023-04-01/P1Y,Adult,115112
E06000031,2023-04-01/P1Y,12-17,13064
